,assignee,creator,description,key,reporter,summary
1539,Patrick Peralta,Patrick Peralta,"Running the distributed tests ({{-Drun_distributed_tests=true}}) against d109a3a and got the following:

{noformat}
   java.lang.NullPointerException
   	at org.springframework.xd.dirt.module.store.ZooKeeperModuleMetadataRepository.updateDeploymentStatus(ZooKeeperModuleMetadataRepository.java:209)
   	at org.springframework.xd.dirt.module.store.ZooKeeperModuleMetadataRepository.findAllByContainerId(ZooKeeperModuleMetadataRepository.java:313)
   	at org.springframework.xd.dirt.container.store.ZooKeeperContainerRepository.findAllRuntimeContainers(ZooKeeperContainerRepository.java:339)
   	at org.springframework.xd.dirt.rest.ContainersController.list(ContainersController.java:97)
   	at sun.reflect.GeneratedMethodAccessor100.invoke(Unknown Source)
   	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
   	at java.lang.reflect.Method.invoke(Method.java:483)
   	at org.springframework.web.method.support.InvocableHandlerMethod.invoke(InvocableHandlerMethod.java:215)
   	at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:132)
   	at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:104)
   	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandleMethod(RequestMappingHandlerAdapter.java:749)
   	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:689)
   	at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:83)
   	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:938)
   	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:870)
   	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:961)
   	at org.springframework.web.servlet.FrameworkServlet.doGet(FrameworkServlet.java:852)
   	at javax.servlet.http.HttpServlet.service(HttpServlet.java:620)
   	at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:837)
   	at javax.servlet.http.HttpServlet.service(HttpServlet.java:727)
   	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:
{noformat}",XD-2215,Patrick Peralta,NPE in ContainerRedeploymentTests
1540,Marius Bogoevici,Marius Bogoevici,"1. The sample {{httpSSLproperties}} file that is included in the distribution contains the line:

{quote}
keystore.passPhrase=secret
{quote}

The correct key value is {{keyStore.passPhrase}}. This issue causes HTTPS sources to deploy, but not bind to the port.

2. The password is always defaulting to ""secret""",XD-2214,Marius Bogoevici,HTTPS Source Configuration issues
1541,,Sabby Anandan,"To enrich acceptance test coverage, I'd like to have stress test scenario that includes ingesting data from _HTTP_ and then writing it to _Log_ sink.",XD-2213,Sabby Anandan,Add stress test
1542,,Sabby Anandan,"To enrich acceptance tests, I'd like to have test coverage to evaluate _FieldValueCounts_ and _AggregateCounts_ for a given scenario.",XD-2212,Sabby Anandan,Add acceptance tests for FieldValueCounts and AggregateCounts
1543,Glenn Renfro,Sabby Anandan,"To enrich acceptance test, I'd like to lazy initialize DB for JDBC Sink acceptance tests. Check to see if it is already initialized and decide. ",XD-2211,Sabby Anandan,Exclude DB initialization for JDBC sink test
1544,,Sabby Anandan,"To enrich acceptance test, I'd like to add coverage to JDBC sink by including *-- driverclass* and *-- url* options.",XD-2210,Sabby Anandan,Enhance JDBC sink test to include more options
1545,,Sabby Anandan,"To enrich acceptance test, I'd like to have basic coverage to evaluate Gemfire use cases. 

An example would be to ingest data from HTTP source and write it to Gemfire server.",XD-2209,Sabby Anandan,Add acceptance test to include Gemfire use case
1546,,Sabby Anandan,"To enrich the acceptance test, I'd like to evaluate JSON object to extract ""Good"" and ""Bad"" instead of just relying on a basic filter test to assert the payload content. ",XD-2208,Sabby Anandan,Add acceptance test to extract and assert payload from JSON object
1547,,Sabby Anandan,"As a user, I would like to have an option to write data into _Hive_ sink so that I can query and manage large datasets in distributed storage.",XD-2207,Sabby Anandan,Add Hive sink
1548,,Sabby Anandan,"As a user, I'd like to have a _R_ processor, so I can efficiently perform data computations and statistical analysis in the context of streaming pipeline. 

Investigate the right approach that fits Spring XD model.

*R Java Libraries*
[rJava|http://rforge.net/rJava/]
[Renjin|http://www.renjin.org/]",XD-2206,Sabby Anandan,Add R processor
1549,David Turanski,Sabby Anandan,"As a user, I'd like to have a _Python_ processor so that I can efficiently perform data computations and statistical analysis. 

Investigate the right approach (native or via stdin/stdout) that fits Spring XD model.

[Integrate Java and Python|https://wiki.python.org/moin/IntegratingPythonWithOtherLanguages#Java]",XD-2205,Sabby Anandan,Add Python processor
1550,,Sabby Anandan,,XD-2204,Sabby Anandan,Add new processor modules
1551,Gunnar Hillert,Thomas Risberg,"The scope is to make sure that a new PDF is generated (both for 1.0.2 and 1.1 M1 releases) and/or revision references are correctly rendered.

",XD-2203,Thomas Risberg,Make sure Spring XD's PDF reference doc has right release revision references
1552,Mark Pollack,Mark Pollack,,XD-2202,Mark Pollack,Release 1.0.1
1553,Gary Russell,Derek OKeeffe,"Exception in a tap will stop the tapped stream from sinking data.

h2. Background
Running xd-singlenode.
We experienced this when streaming data from a rabbit queue to hdfs. The stream was tapped and we had a groovy processor on the tap stream. Any exceptions in the processor stopped the main stream from writing data to the hdfs sink.

h2. Steps to reproduce.
1: Create a groovy script that throws an exception in  modules/processor/scripts/exceptionthrower.groovy. Code below
{code}
/**
 * Custom processor to be wired into a tap to throw an exception.
 */
 throw new RuntimeException(""Error from processor"")
{code}
2: Create a sample main stream
{code}
xd:>stream create --name ticktock --definition ""time | log"" --deploy
{code}
3: Tail the log to confirm the data is going to the sink. We see  'sink.ticktock' appearing in the log as expected.
4: Add a tap to the stream that will throw an exception.
{code}
xd:>stream create --name exTap --definition ""tap:stream:ticktock > script --location=exceptionthrower.groovy | log"" --deploy
{code}
5: Tail the log and we see that there are no more 'sink.ticktock' strings being logged. Looks like the main stream is no longer sending messages to the sink.
",XD-2201,Derek OKeeffe,Exception in a tap will stop the tapped stream from sinking data
1554,Eric Bottard,Eric Bottard,Build on top of https://github.com/spring-projects/spring-integration-extensions/pull/116/files wrt the partition header to use (see https://github.com/spring-projects/spring-xd/pull/1200#issuecomment-57622400),XD-2200,Eric Bottard,Add option to set PARTITION_HEADER
1555,Eric Bottard,David Turanski,"MR is responsible for looking up existing module definitions by name and type.  ModuleDefinition should contain name, type, and resource; where resource is a springframework.core.io.Resource containing the root path of the module definition. This could be file, classpath, http, hdfs or something else but the contents under this path will not be inspected or processed by MR. The exception is for composite modules which should contain a list of corresponding Resources.

Simplify ModuleDefinition - remove classpath. Provide support for CompositeModuleDefinition - requires a list of resources (possibly a subclass)

Also retire RedisModuleRegistry
",XD-2199,David Turanski,Simplify ModuleRegistry
1556,Eric Bottard,David Turanski,Currently there is no ModuleRegistry contract for composite modules. The composed module definition is maintained in ZooKeeperModuleDefinitionRepository which delegates to the ModuleRegistry to define and validate component modules. The repository should be converted to a ModuleRegistry.,XD-2198,David Turanski,Create CompositeModuleRegistry
1557,David Turanski,David Turanski,"ModuleFactory is responsible for determining how the Module application context is created from available sources at the resource location exposed via the ModuleDefinition. The factory creates the application context and creates a SimpleModule or CompositeModule as appropropriate. For example, if an XML file is present, it is assumed to be the bean definition file used to create a CXMLAC. If no XML file is present, inspect the properties file for the existence of well-known properties such as base-package-name for component scanning for an @Configuration, or a module-class-name for an Annotated POJO based module (see XD-2100).  The MF is also responsible for creating composite modules.   Also includes Module refactoring, add getApplicationContext() and probably setApplicationContext().  Also refactor CompositeModule code to use boot SpringApplicationBuilder  
",XD-2197,David Turanski,Create ModuleFactory
1558,David Turanski,David Turanski,Decouple from DeploymentListener. Make DL a public class to handle deployment related events.  Remove createSimpleModule() and createComposedModule() from DL.  This will be delegated to ModuleDeployer which will eventually be further refactored to use the proposed ModuleFactory.,XD-2196,David Turanski,Refactor ContainerRegistrar
1559,,Eric Bottard,"Now that we have --incrementExpression, we often want to increment by some domain specific value that may not be integral (e.g. Watts in smartgrid demo)",XD-2195,Eric Bottard,Have counters use Double arithmetic instead of Long
1560,,Glenn Renfro,"When running the gradlew build the JsonStringToObjectTransformerTests unit test failed.  The cause is enumerated below:
Caused by: com.gemstone.gemfire.internal.tcp.ConnectionException: While creating ServerSocket and Stub on port 0 with address glenns-mbp/192.168.1.254

If I added 127.0.0.1 glenns-mbp to my /etc/hosts the tests succeeded.

",XD-2194,Glenn Renfro,JsonStringToObjectTransformerTests fail on mac if local machine name is not in /etc/hosts
1561,,Eric Bottard,,XD-2193,Eric Bottard,Add authentication support to the mongo sink
1562,Thomas Risberg,Mark Pollack,See https://build.spring.io/browse/XD-SCRIPTS-723,XD-2192,Mark Pollack,Fix failing script integration test
1563,,Eric Bottard,"Amongst (maybe) other things, the doc says we don't ship ZK:

http://docs.spring.io/spring-xd/docs/1.0.0.BUILD-SNAPSHOT/reference/html/#_setting_up_zookeeper",XD-2191,Eric Bottard,Fix doc related to ZK install
1564,Ilayaperumal Gopinathan,Kashyap Parikh,"Targeting xd-shell from 1.0.1 to 1.0.0 GA admin server fails

server-unknown:>admin config info
  -------------  -------------------------------------------------------------
  Result         Unable to contact XD Admin Server at 'http://localhost:9393'.
  Target         http://localhost:9393
  Timezone used  Pacific Standard Time (UTC -8:00)
  -------------  -------------------------------------------------------------
-------------------------------------------------------------------------------
An exception ocurred during targeting:
java.lang.NullPointerException
    at org.springframework.xd.rest.client.impl.SpringXDTemplate.<init>(SpringXDTemplate.java:110)
    at org.springframework.xd.rest.client.impl.SpringXDTemplate.<init>(SpringXDTemplate.java:137)
    at org.springframework.xd.shell.command.ConfigCommands.target(ConfigCommands.java:106)
    at org.springframework.xd.shell.command.ConfigCommands.afterPropertiesSet(ConfigCommands.java:191)
",XD-2190,Kashyap Parikh,xd-shell from 1.0.1 doesn't work with 1.0.0 GA admin
1565,,Ilayaperumal Gopinathan,"If the security is enabled for the container, then admin server won't be able to fetch the message rates for the deployed modules in that container.

The REST endpoint 'cluster/containers' needs to be fixed.",XD-2189,Ilayaperumal Gopinathan,Fix 'cluster/containers' REST endpoint if security is enabled
1566,Glenn Renfro,Glenn Renfro,"Need to add a retry to the mkdir command, in the case that it fails.",XD-2188,Glenn Renfro,FilePollHdfs sporadically fails 
1567,Glenn Renfro,Glenn Renfro,"The hdfs sink needs to have a unique stream name.  Because the twitterSearch test uses the ""defaultName"" and it may broadcast more than one message to the sink for the search.  So when the stream is destroyed the message is abandoned until hdfsTest starts up using the same 
""defaultName"" and the message is delivered to hdfs sink and thus the twitter data is written to the file.  ",XD-2187,Glenn Renfro,testHdfsSink  sporadically fails because twitter data is written to file.
1568,,Ilayaperumal Gopinathan,"Once the container's management server is secured, the admin server needs to know which REST template to use to get the message rates from the deployed modules inside the containers.",XD-2186,Ilayaperumal Gopinathan,Fix 'cluster/containers' REST endpoint with security enabled
1569,,Ilayaperumal Gopinathan,"Once the container's management server is secured, the admin server needs to know which REST template to use to get the message rates from the deployed modules inside the containers.",XD-2185,Ilayaperumal Gopinathan,Fix 'cluster/containers' REST endpoint with security enabled
1570,,Ilayaperumal Gopinathan,"Once the container's management server is secured, the admin server needs to know which REST template to use to get the message rates from the deployed modules inside the containers.",XD-2184,Ilayaperumal Gopinathan,Fix 'cluster/containers' REST endpoint with security enabled
1571,,Ilayaperumal Gopinathan,"Once the container's management server is secured, the admin server needs to know which REST template to use to get the message rates from the deployed modules inside the containers.",XD-2183,Ilayaperumal Gopinathan,Fix 'cluster/containers' REST endpoint with security enabled
1572,Marius Bogoevici,Marius Bogoevici,"As a user, I want to know how to enable and configure LDAP as an authentication provider for the administration server, so that I can set up my security configuration accordingly.",XD-2182,Marius Bogoevici,Document how to enable LDAP security for admin endpoints
1573,Marius Bogoevici,Marius Bogoevici,"As a user, I want to know my configuration options are for enabling SSL/HTTPS and Basic authentication for administration endpoints, so that I can secure my application.",XD-2181,Marius Bogoevici,Document how to enable SSL and Basic authentication 
1574,Thomas Risberg,Sabby Anandan,"As a user, I'd like to override the default ""commit-interval"" so that I can configure commit interval depending on data volume.

*Note:*
This would apply for all OOTB jobs that has partition support. The property could be part of _servers.yml_ file.",XD-2180,Sabby Anandan,"Expose property to change ""commit-interval"""
1575,,Sabby Anandan,"As a user, I'd like to have the option of _HDFS_ source module so that I can ingest data directly from HDFS file system.",XD-2179,Sabby Anandan,Add HDFS source
1576,Thomas Risberg,Sabby Anandan,"As a user, I'd like to have the option to supply data partitioning strategy so that I can parallelize ingest of data from RDBMS to HDFS.",XD-2178,Sabby Anandan,Add remote partitioning on 'jdbchdfs' job
